year,hotels,ryokan,simple_lodging,boarding_houses,total,source,source_url
2006,2,161,30,0,193,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2007,3,148,31,0,182,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2008,3,142,26,0,171,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2009,3,139,28,0,170,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2010,2,135,26,0,163,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2011,2,132,27,0,161,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2012,2,128,27,0,157,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2013,2,122,25,0,149,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2014,2,113,25,0,140,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2015,1,110,24,0,135,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2016,1,107,25,0,133,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
