category,private_households,share_pct,classification,source,source_url
"Private households, total",10662,100.0,Household family type,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
Households of relatives only,6442,60.4,Household family type,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
of which nuclear-family households,5646,53.0,Household family type,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
One-person households,4103,38.5,Household family type,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
of which one-person households aged 65+,2279,21.4,Household family type,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
1 person,4103,38.5,Household size,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
2 persons,3624,34.0,Household size,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
3 persons,1528,14.3,Household size,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
4 persons,920,8.6,Household size,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
5 persons,338,3.2,Household size,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
6 persons,98,0.9,Household size,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
7 or more persons,51,0.5,Household size,"2020 Population Census, Basic Complete Tabulation, Table 10",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032142501&fileKind=0
