year,visitors_total_thousands,overnight_visitors_thousands,day_visitors_thousands,overnight_share_pct,tourism_spending_million_yen,spending_per_visitor_yen,source,source_url
1990,8467,1334,7133,15.8,21719,2565,"Yugawara Town Accommodation Tax Study Committee, report",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/15537.pdf
2003,5796,911,4885,15.7,14851,2562,"Yugawara Town Accommodation Tax Study Committee, report",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/15537.pdf
2005,5135,832,4303,16.2,,,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2006,5028,756,4272,15.0,,,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2007,5259,729,4530,13.9,,,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2008,4943,726,4217,14.7,11542,2335,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2009,4714,642,4072,13.6,,,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2010,4442,614,3827,13.8,,,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2011,4062,577,3485,14.2,,,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2012,4072,599,3473,14.7,,,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2013,3944,593,3350,15.0,9849,2497,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2014,3634,577,3057,15.9,,,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2015,3109,568,2541,18.3,,,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2016,3421,576,2845,16.8,,,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2017,3309,681,2628,20.6,,,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2018,3647,690,2956,18.9,10442,2863,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,4096,674,3422,16.5,10776,2631,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2020,3602,503,3099,14.0,8625,2395,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2021,3500,407,3092,11.6,7617,2176,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2022,3804,580,3224,15.2,9568,2515,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2023,3914,597,3317,15.3,9848,2516,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2024,4056,635,3421,15.7,10357,2554,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
