fiscal_year,non_pass_passengers,commuter_pass_passengers,total_passengers,non_pass_share_pct,source,source_url
2011,,,5976,,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2012,2883,3187,6071,47.5,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2013,2858,3243,6101,46.8,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2014,2827,3168,5996,47.1,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2015,2819,3167,5986,47.1,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2016,2811,3111,5922,47.5,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2017,2913,3119,6032,48.3,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2018,2897,3095,5992,48.3,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2019,2751,3082,5833,47.2,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2020,1641,2458,4100,40.0,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2021,1934,2583,4517,42.8,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2022,2386,2621,5008,47.6,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2023,2509,2653,5162,48.6,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
2024,2560,2610,5171,49.5,"JR East, ""Passengers Boarding at Each Station""",https://www.jreast.co.jp/company/data/passenger/
