year_month,year,month,spend_category,weekday_spend_per_visitor_yen,weekend_spend_per_visitor_yen,weekend_over_weekday,weekend_minus_weekday_yen,source,source_url,indicator_definition,notes
2025-01,2025,1,All categories,11214,10127,0.903,-1087,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-02,2025,2,All categories,11171,10088,0.903,-1083,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-03,2025,3,All categories,9762,9844,1.008,82,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-04,2025,4,All categories,9108,9414,1.034,306,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-05,2025,5,All categories,9495,10043,1.058,548,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-06,2025,6,All categories,8632,8386,0.972,-246,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-07,2025,7,All categories,7601,6772,0.891,-829,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-08,2025,8,All categories,10357,9703,0.937,-654,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-09,2025,9,All categories,7230,7626,1.055,396,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-10,2025,10,All categories,7741,9215,1.19,1474,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-11,2025,11,All categories,10397,9794,0.942,-603,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-12,2025,12,All categories,11170,9814,0.879,-1356,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2026-01,2026,1,All categories,11739,10403,0.886,-1336,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2026-02,2026,2,All categories,11072,9923,0.896,-1149,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2026-03,2026,3,All categories,11038,9025,0.818,-2013,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-01,2025,1,Lodging,32828,28373,0.864,-4455,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-02,2025,2,Lodging,28626,23799,0.831,-4827,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-03,2025,3,Lodging,26541,26641,1.004,100,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-04,2025,4,Lodging,26398,24511,0.929,-1887,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
2025-05,2025,5,Lodging,29829,31620,1.06,1791,"RESAS Credit Card Spending Analysis (spend per visitor, monthly, weekday/weekend)",https://resas.go.jp/tourism-credit-consumption-amount/,Spend per visitor = total spend / visitors counted in that segment,"Spend per visitor = total spend / visitors counted in that segment. This is not spend per purchaser (that appears only in the 'by category' chart). Visa card-present transactions only; estimated. Transcribed from a screen recording, retrieved 2026-09-20."
