year_as_of_jan1,male,female,total_population,households,avg_household_size,total_population_vs_2015_pct,households_vs_2015_pct,source,source_url
2015,12342,14100,26442,12678,2.086,0.0,0.0,"Yugawara Town Statistical Handbook, 2024 edition",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/13737.pdf
2016,12144,13866,26010,12659,2.055,-1.6,-0.1,"Yugawara Town Statistical Handbook, 2024 edition",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/13737.pdf
2017,12051,13630,25681,12673,2.026,-2.9,-0.0,"Yugawara Town Statistical Handbook, 2024 edition",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/13737.pdf
2018,11928,13525,25453,12764,1.994,-3.7,0.7,"Yugawara Town Statistical Handbook, 2024 edition",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/13737.pdf
2019,11803,13417,25220,12878,1.958,-4.6,1.6,"Yugawara Town Statistical Handbook, 2024 edition",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/13737.pdf
2020,11627,13176,24803,12810,1.936,-6.2,1.0,"Yugawara Town Statistical Handbook, 2024 edition",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/13737.pdf
2021,11538,12955,24493,12852,1.906,-7.4,1.4,"Yugawara Town Statistical Handbook, 2024 edition",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/13737.pdf
2022,11384,12767,24151,12817,1.884,-8.7,1.1,"Yugawara Town Statistical Handbook, 2024 edition",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/13737.pdf
2023,11268,12631,23899,12902,1.852,-9.6,1.8,"Yugawara Town Statistical Handbook, 2024 edition",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/13737.pdf
2024,11064,12419,23483,12870,1.825,-11.2,1.5,"Yugawara Town Statistical Handbook, 2024 edition",https://www.town.yugawara.kanagawa.jp/uploaded/attachment/13737.pdf
