year_month,year,month,visitors_total_persons,overnight_visitors_persons,day_visitors_persons,tourism_spending_total_thousand_yen,lodging_spend_thousand_yen,food_beverage_spend_thousand_yen,other_spend_thousand_yen,overnight_share_pct,spending_per_visitor_yen,source,source_url
2019-01,2019,1,262286,55586,206700,806889,583653,130221,93015,21.2,3076,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-02,2019,2,271099,63854,207245,894291,670467,130564,93260,23.6,3299,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-03,2019,3,259172,62261,196911,866405,653741,124054,88610,24.0,3343,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-04,2019,4,468164,51200,416964,987921,537600,262687,187634,10.9,2110,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-05,2019,5,325872,46730,279142,792138,490665,175859,125614,14.3,2431,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-06,2019,6,416805,44544,372261,869753,467712,234524,167517,10.7,2087,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-07,2019,7,305633,47025,258608,773060,493763,162923,116374,15.4,2529,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-08,2019,8,300944,80336,220608,1081785,843528,138983,99274,26.7,3595,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-09,2019,9,307332,60109,247223,898145,631145,155750,111250,19.6,2922,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-10,2019,10,429521,42197,387324,861379,443069,244014,174296,9.8,2005,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-11,2019,11,369306,54857,314449,915604,575999,198103,141502,14.9,2479,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019-12,2019,12,380161,65640,314521,1028902,689220,198148,141534,17.3,2706,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
