year,name,category,visitors_thousands,source,source_url
2019,Oku-Yugawara,Facility,898,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Yugawara Municipal Museum of Art,Facility,22,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Doppo-no-Yu footbath,Facility,62,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Kogome-no-Yu public bath,Facility,95,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Seaside Park pool,Facility,9,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Yugawara Onsen entrance intersection,Observation point,1099,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Yugawara Station entrance intersection,Observation point,868,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Yugawara Beach,Event,64,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Ume-no-Utage (plum blossom festival),Event,68,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Yukake Festival,Event,16,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Hotaru-no-Utage (firefly festival),Event,6,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Yassa Festival,Event,39,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Sea fireworks display,Event,32,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2019,Noryo Ennichi (summer evening fair),Event,13,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2020,Yugawara Municipal Museum of Art,Facility,15,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2020,Doppo-no-Yu footbath,Facility,15,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2020,Kogome-no-Yu public bath,Facility,64,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2020,Seaside Park pool,Facility,5,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2020,Oku-Yugawara,Observation point,581,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2020,Yugawara Onsen entrance intersection,Observation point,948,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2020,Yugawara Station entrance intersection,Observation point,890,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2020,Ume-no-Utage (plum blossom festival),Event,50,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2020,Halloween fireworks display,Event,9,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2021,Yugawara Municipal Museum of Art,Facility,15,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
2021,Kogome-no-Yu public bath,Facility,65,"Kanagawa Prefecture, ""Tourist Visitor Survey""",https://www.pref.kanagawa.jp/docs/b6m/cnt/f80022/r6irikomi.html
