fiscal_year,event_name,visitors_persons,source,source_url
2011,Hotaru-no-Utage (firefly festival),13350,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2011,Yassa Festival (incl. sea fireworks),57000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2011,Ume-no-Utage (plum blossom festival),64001,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2011,Yukake Festival,8000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2011,Yugawara Samba Parade,1000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2011,Noryo Ennichi (summer evening fair),15000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2012,Hotaru-no-Utage (firefly festival),9350,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2012,Yassa Festival (incl. sea fireworks),74000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2012,Ume-no-Utage (plum blossom festival),80070,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2012,Yukake Festival,16000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2012,Yugawara Samba Parade,11000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2012,Noryo Ennichi (summer evening fair),15000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2013,Hotaru-no-Utage (firefly festival),10050,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2013,Yassa Festival (incl. sea fireworks),68000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2013,Ume-no-Utage (plum blossom festival),68186,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2013,Yukake Festival,14000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2013,Yugawara Samba Parade,10000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2013,Noryo Ennichi (summer evening fair),17000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2014,Hotaru-no-Utage (firefly festival),7356,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2014,Yassa Festival (incl. sea fireworks),69000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2014,Ume-no-Utage (plum blossom festival),73724,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2014,Yukake Festival,14000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2014,Yugawara Samba Parade,10000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2014,Noryo Ennichi (summer evening fair),15100,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2015,Hotaru-no-Utage (firefly festival),7200,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2015,Yassa Festival (incl. sea fireworks),64000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2015,Ume-no-Utage (plum blossom festival),69103,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2015,Yukake Festival,12000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2015,Yugawara Samba Parade,11000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
2015,Noryo Ennichi (summer evening fair),15000,Yugawara Town Statistical Handbook,https://www.town.yugawara.kanagawa.jp/uploaded/attachment/2680.pdf
